frame,time_seconds,visibility
1131,37.7,No Logo
1132,37.73,No Logo
1133,37.77,No Logo
1134,37.8,No Logo
1135,37.83,No Logo
1136,37.87,No Logo
1137,37.9,No Logo
1138,37.93,No Logo
1139,37.97,No Logo
1140,38.0,No Logo
1141,38.03,No Logo
1142,38.07,No Logo
1143,38.1,No Logo
1144,38.13,No Logo
1145,38.17,No Logo
1146,38.2,No Logo
1147,38.23,No Logo
1148,38.27,No Logo
1149,38.3,No Logo
1150,38.33,No Logo
1151,38.37,No Logo
1152,38.4,No Logo
1153,38.43,No Logo
1154,38.47,No Logo
1155,38.5,No Logo
1156,38.53,No Logo
1157,38.57,No Logo
1158,38.6,No Logo
1159,38.63,No Logo
1160,38.67,No Logo
1161,38.7,No Logo
1162,38.73,No Logo
1163,38.77,No Logo
1164,38.8,No Logo
1165,38.83,No Logo
1166,38.87,No Logo
1167,38.9,No Logo
1168,38.93,No Logo
1169,38.97,No Logo
1170,39.0,No Logo
1171,39.03,No Logo
1172,39.07,No Logo
1173,39.1,No Logo
1174,39.13,No Logo
1175,39.17,No Logo
1176,39.2,No Logo
1177,39.23,No Logo
1178,39.27,No Logo
1179,39.3,No Logo
1180,39.33,No Logo
1181,39.37,No Logo
1182,39.4,No Logo
1183,39.43,No Logo
1184,39.47,No Logo
1185,39.5,No Logo
1186,39.53,No Logo
1187,39.57,No Logo
1188,39.6,No Logo
1189,39.63,No Logo
1190,39.67,No Logo
1191,39.7,No Logo
1192,39.73,No Logo
1193,39.77,No Logo
1194,39.8,No Logo
1195,39.83,No Logo
1196,39.87,No Logo
1197,39.9,No Logo
1198,39.93,No Logo
1199,39.97,No Logo
1200,40.0,No Logo
1201,40.03,No Logo
1202,40.07,No Logo
1203,40.1,No Logo
1204,40.13,No Logo
1205,40.17,No Logo
1206,40.2,No Logo
1207,40.23,No Logo
1208,40.27,No Logo
1209,40.3,No Logo
1210,40.33,No Logo
1211,40.37,No Logo
1212,40.4,No Logo
1213,40.43,No Logo
1214,40.47,No Logo
1215,40.5,No Logo
